,ward,borough,%_english_is_first_language_of_no_one_in_household_2011,median_house_price_2014,median_household_income_estimate_2012_13,male_life_expectancy_2009_13,female_life_expectancy_2009_13,%_area_that_is_open_space_2014,%_travel_by_bicycle_to_work_2011,turnout_at_mayoral_election_2012,crime_rate_2014_15,%_bame_2011,%_all_older_people_aged_65_2015,%_homes_with_good_access_to_nature,%_homes_with_deficiency_in_access_to_nature,female_life_expectancy_normalised,male_life_expectancy_normalised,median_household_income_estimate_2012_13_log
78,E05000103,Brent,22.9,292475.0,31620.0,80.1,85.6,34.0,1.2,32.0,62.9,61.3,12.1,100.0,0.0,1.016688999878183,1.0040598389322686,10.361545110763464
79,E05000104,Brent,32.9,250000.0,31040.0,81.8,85.1,20.1,1.2,30.4,118.3,86.0,10.6,93.0,7.0,1.010750395906932,1.0253694734664116,10.343031974297155
80,E05000105,Brent,25.9,409500.0,31390.0,77.8,83.0,36.8,3.1,30.7,94.9,52.7,8.2,66.0,34.0,0.9858082592276776,0.975229156915487,10.354244649836
81,E05000106,Bromley,2.7,480000.0,47190.0,80.0,83.2,21.5,1.3,33.2,36.5,14.5,20.4,40.0,60.0,0.988183700816178,1.0028063310184956,10.761937284720434
82,E05000107,Bromley,0.5,269950.0,40930.0,82.8,86.3,72.7,0.5,32.8,44.8,4.1,19.6,100.0,0.0,1.0250030454379346,1.0379045526041428,10.619618569486448
83,E05000108,Bromley,1.9,350000.0,40510.0,81.3,85.1,58.6,1.5,31.2,53.0,12.8,17.1,89.0,11.0,1.010750395906932,1.019101933897546,10.609304136196736
84,E05000109,Bromley,4.9,327000.0,43460.0,79.3,83.7,17.6,1.7,32.7,139.0,18.5,13.5,14.0,86.0,0.994122304787429,0.9940317756220837,10.67959625381042
85,E05000110,Bromley,1.3,400000.0,44850.0,84.3,86.5,68.4,1.0,38.9,40.3,9.7,20.3,83.0,17.0,1.027378487026435,1.0567071713107397,10.711078867486941
86,E05000111,Bromley,1.9,395000.0,46250.0,81.0,83.1,59.1,1.2,32.3,55.2,12.0,21.4,99.0,1.0,0.9869959800219277,1.0153414101562268,10.741816742940571
87,E05000112,Bromley,3.9,308750.0,41650.0,79.8,85.2,16.2,2.1,34.7,46.0,20.6,12.4,76.0,24.0,1.0119381167011823,1.0002993151909494,10.637056647594989
88,E05000113,Bromley,4.6,315000.0,43170.0,79.7,84.1,16.7,1.7,32.3,70.5,17.4,16.6,90.0,10.0,0.9988731879644298,0.9990458072771763,10.672901088549523
89,E05000114,Bromley,2.5,242000.0,32230.0,79.2,83.4,76.2,1.1,23.0,102.2,14.6,17.1,100.0,0.0,0.9905591424046785,0.9927782677083107,10.380652974809484
90,E05000115,Bromley,2.5,250000.0,31740.0,78.0,84.8,23.4,1.1,23.1,71.5,13.9,15.2,100.0,0.0,1.0071872335241814,0.9777361727430331,10.3653329940804
91,E05000116,Bromley,8.3,250000.0,34060.0,77.2,81.4,49.2,3.2,28.8,90.0,38.1,8.2,86.0,14.0,0.9668047265196742,0.9677081094328482,10.43587895421668
92,E05000117,Bromley,0.4,445000.0,42810.0,82.2,83.3,88.5,0.9,33.6,43.9,4.8,24.2,100.0,0.0,0.9893714216104281,1.0303835051215042,10.664526999138992
93,E05000118,Bromley,1.4,395000.0,44590.0,82.6,88.0,48.9,1.1,36.9,43.0,9.5,24.2,100.0,0.0,1.0451942989401881,1.0353975367765966,10.705264897621522
94,E05000119,Bromley,1.0,441250.0,45660.0,81.4,86.6,68.9,1.6,37.5,35.0,8.3,19.5,75.0,25.0,1.0285662078206852,1.0203554418113194,10.728977920083787
95,E05000120,Bromley,2.5,421599.0,44700.0,82.8,87.7,42.7,1.8,34.7,59.9,16.0,18.4,79.0,21.0,1.0416311365574376,1.0379045526041428,10.707728780601661
96,E05000121,Bromley,3.6,250000.0,32330.0,78.3,82.2,44.0,1.1,26.7,93.0,18.4,14.4,100.0,0.0,0.9763064928736759,0.9814966964843526,10.383750870719478
97,E05000122,Bromley,2.3,340000.0,38090.0,82.6,85.5,24.6,1.0,35.8,89.6,12.6,22.0,83.0,17.0,1.0155012790839328,1.0353975367765966,10.54770705947265
98,E05000123,Bromley,6.4,320000.0,36090.0,79.7,84.8,24.9,2.5,32.8,89.9,34.6,10.5,76.0,24.0,1.0071872335241814,0.9990458072771763,10.493771097636834
99,E05000124,Bromley,1.8,485000.0,48530.0,83.7,88.1,24.3,0.9,42.0,43.0,9.2,22.7,97.0,3.0,1.0463820197344385,1.049186123828101,10.789937442399262
100,E05000125,Bromley,3.9,295444.0,39460.0,77.5,82.1,40.3,1.9,31.3,48.6,19.3,15.3,82.0,18.0,0.9751187720794255,0.9714686331741675,10.583042779576607
101,E05000126,Bromley,3.6,468000.0,48020.0,86.1,88.1,3.0,1.4,39.4,33.8,15.6,21.6,78.0,22.0,1.0463820197344385,1.079270313758656,10.779372869775244
102,E05000127,Bromley,1.3,475000.0,46210.0,82.4,86.2,31.8,1.2,37.8,33.9,10.6,21.0,67.0,33.0,1.0238153246436843,1.0328905209490504,10.740951503864313
103,E05000128,Camden,14.0,850000.0,52680.0,84.2,88.2,1.3,4.9,36.2,60.9,27.8,13.0,96.0,4.0,1.0475697405286888,1.0554536633969667,10.871991155857218
104,E05000129,Camden,19.5,560000.0,40340.0,81.8,86.2,9.2,5.0,33.2,314.1,40.4,9.6,24.0,76.0,1.0238153246436843,1.0253694734664116,10.605098811508203
105,E05000130,Camden,12.1,813500.0,45840.0,82.7,86.5,15.2,8.6,41.6,297.0,26.4,12.5,92.0,8.0,1.027378487026435,1.0366510446903698,10.732912351388622
106,E05000131,Camden,12.6,560000.0,39060.0,78.2,85.3,7.4,11.1,37.3,82.5,31.9,9.5,69.0,31.0,1.0131258374954324,0.9802431885705795,10.57285420443067
107,E05000132,Camden,16.1,575000.0,46800.0,82.7,87.8,18.4,4.9,37.8,54.2,29.0,10.6,63.0,37.0,1.0428188573516877,1.0366510446903698,10.753638481905739
108,E05000133,Camden,14.6,955000.0,60310.0,84.8,88.0,5.7,3.6,34.4,56.7,25.8,14.3,83.0,17.0,1.0451942989401881,1.0629747108796053,11.007253206445032
109,E05000134,Camden,10.4,599999.0,39990.0,80.2,86.1,15.9,8.7,40.3,65.8,30.1,12.6,100.0,0.0,1.0226276038494342,1.0053133468460418,10.596384701840863
110,E05000135,Camden,10.4,1190000.0,62840.0,84.0,90.7,53.9,4.3,40.8,82.9,20.0,16.5,100.0,0.0,1.077262760384944,1.0529466475694205,11.048347092369557
111,E05000136,Camden,10.7,547305.0,35730.0,78.1,85.5,8.2,7.5,38.3,87.6,37.1,11.4,95.0,5.0,1.0155012790839328,0.9789896806568062,10.483745951017456
112,E05000137,Camden,5.5,650000.0,47840.0,83.3,86.6,65.2,11.7,46.0,81.0,20.2,16.3,100.0,0.0,1.0285662078206852,1.0441720921730084,10.775617388624513
113,E05000138,Camden,16.3,685000.0,40180.0,79.4,90.2,7.5,5.2,37.2,311.0,39.8,10.3,2.0,98.0,1.071324156413693,0.9952852835358569,10.601124638368926
114,E05000139,Camden,10.4,630100.0,41230.0,76.7,80.4,5.3,10.8,40.2,89.0,28.4,9.6,79.0,21.0,0.9549275185771721,0.9614405698639826,10.626921425700946
115,E05000140,Camden,18.7,468000.0,34730.0,76.8,80.3,13.4,4.4,34.6,110.7,40.1,11.6,40.0,60.0,0.9537397977829217,0.9626940777777557,10.45535914573812
116,E05000141,Camden,22.4,625000.0,32890.0,80.1,88.0,13.5,7.0,32.8,122.4,49.2,7.5,24.0,76.0,1.0451942989401881,1.0040598389322686,10.400923939183103
117,E05000142,Camden,15.6,600000.0,34260.0,77.1,84.7,27.0,6.2,34.9,131.3,44.3,9.2,100.0,0.0,1.0059995127299313,0.966454601519075,10.441733771878111
118,E05000143,Camden,17.9,465000.0,30500.0,77.4,81.7,13.6,5.5,35.8,93.5,49.0,8.3,100.0,0.0,0.9703678889024248,0.9702151252603946,10.325481962595504
119,E05000144,Camden,17.8,740500.0,50340.0,81.4,87.5,14.5,4.0,33.2,70.0,32.4,11.8,36.0,64.0,1.039255694968937,1.0203554418113194,10.826555268689306
120,E05000145,Camden,13.9,622500.0,46290.0,80.7,85.9,9.4,4.5,36.7,77.6,30.5,9.2,67.0,33.0,1.0202521622609337,1.0115808864149074,10.742681234025316
121,E05000146,Croydon,10.2,250000.0,38070.0,79.2,81.9,2.3,1.4,32.3,61.0,43.6,9.8,95.0,5.0,0.9727433304909252,0.9927782677083107,10.547181849376543
122,E05000147,Croydon,4.8,347000.0,38600.0,81.0,84.1,22.2,1.1,36.6,58.1,36.7,14.6,88.0,12.0,0.9988731879644298,1.0153414101562268,10.561007555452923
123,E05000148,Croydon,12.9,246250.0,33530.0,82.0,83.9,7.8,1.3,31.7,64.4,73.5,10.3,8.0,92.0,0.9964977463759295,1.027876489293958,10.420195839460273
